price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
5600000000,105660000,1.0,1.0,1.0,0,1.0,53.0
21000000000,127272000,1.0,1.0,1.0,1,5.0,165.0
22500000000,117187000,1.0,1.0,1.0,2,9.0,192.0
8600000000,98850000,1.0,1.0,1.0,3,4.0,87.0
1150000000,25000000,0.0,1.0,1.0,4,2.0,46.0
1800000000,28125000,0.0,1.0,1.0,4,2.0,64.0
7400000000,90243000,1.0,0.0,1.0,5,1.0,82.0
14700000000,210000000,1.0,1.0,1.0,6,5.0,70.0
55000000000,275000000,1.0,1.0,1.0,7,5.0,200.0
17500000000,120689000,1.0,1.0,1.0,8,3.0,145.0
5600000000,93333000,1.0,1.0,1.0,9,4.0,60.0
4350000000,65909000,1.0,0.0,1.0,10,1.0,66.0
1800000000,13846000,1.0,1.0,1.0,11,12.0,130.0
7300000000,100000000,0.0,1.0,0.0,3,0.0,73.0
1430000000,27500000,1.0,1.0,1.0,12,2.0,52.0
3200000000,42666000,0.0,0.0,1.0,13,4.0,75.0
2500000000,30487000,1.0,1.0,1.0,14,6.0,82.0
10000000000,105263000,1.0,1.0,1.0,15,2.0,95.0
1370000000,27400000,1.0,1.0,1.0,4,2.0,50.0
2300000000,51111000,0.0,0.0,0.0,16,1.0,45.0
2800000000,37333000,1.0,1.0,1.0,17,8.0,75.0
10500000000,190909000,1.0,1.0,1.0,18,2.0,55.0
10000000000,105263000,1.0,1.0,1.0,19,4.0,95.0
40000000000,200000000,1.0,1.0,1.0,20,3.0,200.0
7300000000,110606000,1.0,1.0,1.0,21,1.0,66.0
4550000000,81250000,1.0,0.0,1.0,22,4.0,56.0
5500000000,91666000,0.0,1.0,1.0,22,1.0,60.0
27500000000,137500000,1.0,1.0,1.0,23,7.0,200.0
3700000000,68518000,0.0,0.0,1.0,24,2.0,54.0
3350000000,76136000,0.0,0.0,1.0,22,2.0,44.0
116100000000,215000000,1.0,1.0,1.0,25,4.0,540.0
2550000000,45535000,1.0,1.0,1.0,26,3.0,56.0
